,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##SURFACE_AREA##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
FL 3/4X1,1,0.75,3.5,0.75,0.062,0.035,0.125,0.094,0.188,0.141,Flat 3/4X1
FL 3/4X1-1/4,1.25,0.75,4,0.9375,0.122,0.044,0.195,0.117,0.293,0.176,Flat 3/4X1 1/4
FL 3/4X1-1/2,1.5,0.75,4.5,1.125,0.211,0.053,0.281,0.141,0.422,0.211,Flat 3/4X1 1/2
FL 3/4X1-3/4,1.75,0.75,5,1.3125,0.335,0.062,0.383,0.164,0.574,0.246,Flat 3/4X1 3/4
FL 3/4X2,2,0.75,5.5,1.5,0.5,0.07,0.5,0.188,0.75,0.281,Flat 3/4X2
FL 3/4X2-1/4,2.25,0.75,6,1.6875,0.712,0.079,0.633,0.211,0.949,0.316,Flat 3/4X2 1/4
FL 3/4X2-1/2,2.5,0.75,6.5,1.875,0.977,0.088,0.781,0.234,1.172,0.352,Flat 3/4X2 1/2
FL 3/4X2-3/4,2.75,0.75,7,2.0625,1.3,0.097,0.945,0.258,1.418,0.387,Flat 3/4X2 3/4
FL 3/4X3,3,0.75,7.5,2.25,1.688,0.105,1.125,0.281,1.687,0.422,Flat 3/4X3
FL 3/4X3-1/2,3.5,0.75,8.5,2.625,2.68,0.123,1.531,0.328,2.297,0.492,Flat 3/4X3 1/2
FL 3/4X4,4,0.75,9.5,3,4,0.141,2,0.375,3,0.563,Flat 3/4X4
FL 3/4X4-1/2,4.5,0.75,10.5,3.375,5.695,0.158,2.531,0.422,3.797,0.633,Flat 3/4X4 1/2
FL 3/4X5,5,0.75,11.5,3.75,7.813,0.176,3.125,0.469,4.687,0.703,Flat 3/4X5
FL 3/4X5-1/2,5.5,0.75,12.5,4.125,10.398,0.193,3.781,0.516,5.672,0.773,Flat 3/4X5 1/2
FL 3/4X6,6,0.75,13.5,4.5,13.5,0.211,4.5,0.563,6.75,0.844,Flat 3/4X6
FL 3/4X6-1/2,6.5,0.75,14.5,4.875,17.164,0.229,5.281,0.609,7.922,0.914,Flat 3/4X6 1/2
FL 3/4X7,7,0.75,15.5,5.25,21.438,0.246,6.125,0.656,9.187,0.984,Flat 3/4X7
FL 3/4X7-1/2,7.5,0.75,16.5,5.625,26.367,0.264,7.031,0.703,10.547,1.055,Flat 3/4X7 1/2
FL 3/4X8,8,0.75,17.5,6,32,0.281,8,0.75,12,1.125,Flat 3/4X8
FL 3/4X9,9,0.75,19.5,6.75,45.562,0.316,10.125,0.844,15.188,1.266,Flat 3/4X9
FL 3/4X10,10,0.75,21.5,7.5,62.5,0.352,12.5,0.938,18.75,1.406,Flat 3/4X10
FL 3/4X12,12,0.75,25.5,9,108,0.422,18,1.125,27,1.687,Flat 3/4X12
FL 7/8X1,1,0.875,3.75,0.875,0.073,0.056,0.146,0.128,0.219,0.191,Flat 7/8X1
FL 7/8X1-1/4,1.25,0.875,4.25,1.0938,0.142,0.07,0.228,0.16,0.342,0.239,Flat 7/8X1 1/4
FL 7/8X1-1/2,1.5,0.875,4.75,1.3125,0.246,0.084,0.328,0.191,0.492,0.287,Flat 7/8X1 1/2
FL 7/8X1-3/4,1.75,0.875,5.25,1.5313,0.391,0.098,0.447,0.223,0.67,0.335,Flat 7/8X1 3/4
FL 7/8X2,2,0.875,5.75,1.75,0.583,0.112,0.583,0.255,0.875,0.383,Flat 7/8X2
FL 7/8X2-1/2,2.5,0.875,6.75,2.1875,1.139,0.14,0.911,0.319,1.367,0.478,Flat 7/8X2 1/2
FL 7/8X3,3,0.875,7.75,2.625,1.969,0.167,1.312,0.383,1.969,0.574,Flat 7/8X3
FL 7/8X3-1/2,3.5,0.875,8.75,3.0625,3.126,0.195,1.786,0.447,2.68,0.67,Flat 7/8X3 1/2
FL 7/8X4,4,0.875,9.75,3.5,4.667,0.223,2.333,0.51,3.5,0.766,Flat 7/8X4
FL 7/8X4-1/2,4.5,0.875,10.75,3.9375,6.645,0.251,2.953,0.574,4.43,0.861,Flat 7/8X4 1/2
FL 7/8X5,5,0.875,11.75,4.375,9.115,0.279,3.646,0.638,5.469,0.957,Flat 7/8X5
FL 7/8X5-1/2,5.5,0.875,12.75,4.8125,12.132,0.307,4.411,0.702,6.617,1.053,Flat 7/8X5 1/2
FL 7/8X6,6,0.875,13.75,5.25,15.75,0.335,5.25,0.766,7.875,1.148,Flat 7/8X6
FL 7/8X6-1/2,6.5,0.875,14.75,5.6875,20.025,0.363,6.161,0.829,9.242,1.244,Flat 7/8X6 1/2
FL 7/8X7,7,0.875,15.75,6.125,25.01,0.391,7.146,0.893,10.719,1.34,Flat 7/8X7
FL 7/8X7-1/2,7.5,0.875,16.75,6.5625,30.762,0.419,8.203,0.957,12.305,1.436,Flat 7/8X7 1/2
FL 7/8X8,8,0.875,17.75,7,37.333,0.447,9.333,1.021,14,1.531,Flat 7/8X8
FL 1X1-1/4,1.25,1,4.5,1.25,0.163,0.104,0.26,0.208,0.391,0.313,Flat 1X1 1/4
FL 1X1-1/2,1.5,1,5,1.5,0.281,0.125,0.375,0.25,0.563,0.375,Flat 1X1 1/2
FL 1X1-3/4,1.75,1,5.5,1.75,0.447,0.146,0.51,0.292,0.766,0.437,Flat 1X1 3/4
FL 1X2,2,1,6,2,0.667,0.167,0.667,0.333,1,0.5,Flat 1X2
FL 1X2-1/4,2.25,1,6.5,2.25,0.949,0.187,0.844,0.375,1.266,0.563,Flat 1X2 1/4
FL 1X2-1/2,2.5,1,7,2.5,1.302,0.208,1.042,0.417,1.563,0.625,Flat 1X2 1/2
FL 1X2-3/4,2.75,1,7.5,2.75,1.733,0.229,1.26,0.458,1.891,0.687,Flat 1X2 3/4
FL 1X3,3,1,8,3,2.25,0.25,1.5,0.5,2.25,0.75,Flat 1X3
FL 1X3-1/2,3.5,1,9,3.5,3.573,0.292,2.042,0.583,3.062,0.875,Flat 1X3 1/2
FL 1X4,4,1,10,4,5.333,0.333,2.667,0.667,4,1,Flat 1X4
FL 1X4-1/2,4.5,1,11,4.5,7.594,0.375,3.375,0.75,5.063,1.125,Flat 1X4 1/2
FL 1X5,5,1,12,5,10.417,0.417,4.167,0.833,6.25,1.25,Flat 1X5
FL 1X5-1/2,5.5,1,13,5.5,13.865,0.458,5.042,0.917,7.562,1.375,Flat 1X5 1/2
FL 1X6,6,1,14,6,18,0.5,6,1,9,1.5,Flat 1X6
FL 1X6-1/2,6.5,1,15,6.5,22.885,0.542,7.042,1.083,10.562,1.625,Flat 1X6 1/2
FL 1X7,7,1,16,7,28.583,0.583,8.167,1.167,12.25,1.75,Flat 1X7
FL 1X7-1/2,7.5,1,17,7.5,35.156,0.625,9.375,1.25,14.062,1.875,Flat 1X7 1/2
FL 1X8,8,1,18,8,42.667,0.667,10.667,1.333,16,2,Flat 1X8
FL 1X9,9,1,20,9,60.75,0.75,13.5,1.5,20.25,2.25,Flat 1X9
FL 1X10,10,1,22,10,83.333,0.833,16.667,1.667,25,2.5,Flat 1X10
FL 1X12,12,1,26,12,144,1,24,2,36,3,Flat 1X12
FL 1-1/8X1-1/2,1.5,1.125,5.25,1.6875,0.316,0.178,0.422,0.316,0.633,0.475,Flat 1 1/8X1 1/2
FL 1-1/8X2,2,1.125,6.25,2.25,0.75,0.237,0.75,0.422,1.125,0.633,Flat 1 1/8X2
FL 1-1/8X2-1/2,2.5,1.125,7.25,2.8125,1.465,0.297,1.172,0.527,1.758,0.791,Flat 1 1/8X2 1/2
FL 1-1/8X3,3,1.125,8.25,3.375,2.531,0.356,1.687,0.633,2.531,0.949,Flat 1 1/8X3
FL 1-1/8X3-1/2,3.5,1.125,9.25,3.9375,4.02,0.415,2.297,0.738,3.445,1.107,Flat 1 1/8X3 1/2
FL 1-1/8X4,4,1.125,10.25,4.5,6,0.475,3,0.844,4.5,1.266,Flat 1 1/8X4
FL 1-1/8X4-1/2,4.5,1.125,11.25,5.0625,8.543,0.534,3.797,0.949,5.695,1.424,Flat 1 1/8X4 1/2
FL 1-1/8X5,5,1.125,12.25,5.625,11.719,0.593,4.687,1.055,7.031,1.582,Flat 1 1/8X5
FL 1-1/8X5-1/2,5.5,1.125,13.25,6.1875,15.598,0.653,5.672,1.16,8.508,1.74,Flat 1 1/8X5 1/2
FL 1-1/8X6,6,1.125,14.25,6.75,20.25,0.712,6.75,1.266,10.125,1.898,Flat 1 1/8X6
FL 1-1/8X6-1/2,6.5,1.125,15.25,7.3125,25.746,0.771,7.922,1.371,11.883,2.057,Flat 1 1/8X6 1/2
FL 1-1/8X7,7,1.125,16.25,7.875,32.156,0.831,9.187,1.477,13.781,2.215,Flat 1 1/8X7
FL 1-1/8X7-1/2,7.5,1.125,17.25,8.4375,39.551,0.89,10.547,1.582,15.82,2.373,Flat 1 1/8X7 1/2
FL 1-1/8X8,8,1.125,18.25,9,48,0.949,12,1.687,18,2.531,Flat 1 1/8X8
FL 1-1/4X1-1/2,1.5,1.25,5.5,1.875,0.352,0.244,0.469,0.391,0.703,0.586,Flat 1 1/4X1 1/2
FL 1-1/4X1-3/4,1.75,1.25,6,2.1875,0.558,0.285,0.638,0.456,0.957,0.684,Flat 1 1/4X1 3/4
FL 1-1/4X2,2,1.25,6.5,2.5,0.833,0.326,0.833,0.521,1.25,0.781,Flat 1 1/4X2
FL 1-1/4X2-1/4,2.25,1.25,7,2.8125,1.187,0.366,1.055,0.586,1.582,0.879,Flat 1 1/4X2 1/4
FL 1-1/4X2-1/2,2.5,1.25,7.5,3.125,1.628,0.407,1.302,0.651,1.953,0.977,Flat 1 1/4X2 1/2
FL 1-1/4X2-3/4,2.75,1.25,8,3.4375,2.166,0.448,1.576,0.716,2.363,1.074,Flat 1 1/4X2 3/4
FL 1-1/4X3,3,1.25,8.5,3.75,2.813,0.488,1.875,0.781,2.813,1.172,Flat 1 1/4X3
FL 1-1/4X3-1/2,3.5,1.25,9.5,4.375,4.466,0.57,2.552,0.911,3.828,1.367,Flat 1 1/4X3 1/2
FL 1-1/4X4,4,1.25,10.5,5,6.667,0.651,3.333,1.042,5,1.563,Flat 1 1/4X4
FL 1-1/4X4-1/2,4.5,1.25,11.5,5.625,9.492,0.732,4.219,1.172,6.328,1.758,Flat 1 1/4X4 1/2
FL 1-1/4X5,5,1.25,12.5,6.25,13.021,0.814,5.208,1.302,7.813,1.953,Flat 1 1/4X5
FL 1-1/4X5-1/2,5.5,1.25,13.5,6.875,17.331,0.895,6.302,1.432,9.453,2.148,Flat 1 1/4X5 1/2
FL 1-1/4X6,6,1.25,14.5,7.5,22.5,0.977,7.5,1.563,11.25,2.344,Flat 1 1/4X6
FL 1-1/4X6-1/2,6.5,1.25,15.5,8.125,28.607,1.058,8.802,1.693,13.203,2.539,Flat 1 1/4X6 1/2
FL 1-1/4X7,7,1.25,16.5,8.75,35.729,1.139,10.208,1.823,15.313,2.734,Flat 1 1/4X7
FL 1-1/4X7-1/2,7.5,1.25,17.5,9.375,43.945,1.221,11.719,1.953,17.578,2.93,Flat 1 1/4X7 1/2
FL 1-1/4X8,8,1.25,18.5,10,53.333,1.302,13.333,2.083,20,3.125,Flat 1 1/4X8
FL 1-1/4X9,9,1.25,20.5,11.25,75.938,1.465,16.875,2.344,25.313,3.516,Flat 1 1/4X9
FL 1-1/4X10,10,1.25,22.5,12.5,104.167,1.628,20.833,2.604,31.25,3.906,Flat 1 1/4X10
FL 1-1/4X12,12,1.25,26.5,15,180,1.953,30,3.125,45,4.687,Flat 1 1/4X12
FL 1-3/8X1-1/2,1.5,1.375,5.75,2.0625,0.387,0.325,0.516,0.473,0.773,0.709,Flat 1 3/8X1 1/2
FL 1-3/8X2,2,1.375,6.75,2.75,0.917,0.433,0.917,0.63,1.375,0.945,Flat 1 3/8X2
FL 1-3/8X2-1/2,2.5,1.375,7.75,3.4375,1.79,0.542,1.432,0.788,2.148,1.182,Flat 1 3/8X2 1/2
FL 1-3/8X3,3,1.375,8.75,4.125,3.094,0.65,2.062,0.945,3.094,1.418,Flat 1 3/8X3
FL 1-3/8X3-1/2,3.5,1.375,9.75,4.8125,4.913,0.758,2.807,1.103,4.211,1.654,Flat 1 3/8X3 1/2
FL 1-3/8X4,4,1.375,10.75,5.5,7.333,0.867,3.667,1.26,5.5,1.891,Flat 1 3/8X4
FL 1-3/8X4-1/2,4.5,1.375,11.75,6.1875,10.441,0.975,4.641,1.418,6.961,2.127,Flat 1 3/8X4 1/2
FL 1-3/8X5,5,1.375,12.75,6.875,14.323,1.083,5.729,1.576,8.594,2.363,Flat 1 3/8X5
FL 1-3/8X5-1/2,5.5,1.375,13.75,7.5625,19.064,1.191,6.932,1.733,10.398,2.6,Flat 1 3/8X5 1/2
FL 1-3/8X6,6,1.375,14.75,8.25,24.75,1.3,8.25,1.891,12.375,2.836,Flat 1 3/8X6
FL 1-3/8X6-1/2,6.5,1.375,15.75,8.9375,31.467,1.408,9.682,2.048,14.523,3.072,Flat 1 3/8X6 1/2
FL 1-3/8X7,7,1.375,16.75,9.625,39.302,1.516,11.229,2.206,16.844,3.309,Flat 1 3/8X7
FL 1-3/8X7-1/2,7.5,1.375,17.75,10.3125,48.34,1.625,12.891,2.363,19.336,3.545,Flat 1 3/8X7 1/2
FL 1-3/8X8,8,1.375,18.75,11,58.667,1.733,14.667,2.521,22,3.781,Flat 1 3/8X8
FL 1-1/2X1-1/2,1.5,1.5,6,2.25,0.422,0.422,0.563,0.563,0.844,0.844,Flat 1 1/2X1 1/2
FL 1-1/2X1-3/4,1.75,1.5,6.5,2.625,0.67,0.492,0.766,0.656,1.148,0.984,Flat 1 1/2X1 3/4
FL 1-1/2X2,2,1.5,7,3,1,0.563,1,0.75,1.5,1.125,Flat 1 1/2X2
FL 1-1/2X2-1/4,2.25,1.5,7.5,3.375,1.424,0.633,1.266,0.844,1.898,1.266,Flat 1 1/2X2 1/4
FL 1-1/2X2-1/2,2.5,1.5,8,3.75,1.953,0.703,1.563,0.938,2.344,1.406,Flat 1 1/2X2 1/2
FL 1-1/2X2-3/4,2.75,1.5,8.5,4.125,2.6,0.773,1.891,1.031,2.836,1.547,Flat 1 1/2X2 3/4
FL 1-1/2X3,3,1.5,9,4.5,3.375,0.844,2.25,1.125,3.375,1.687,Flat 1 1/2X3
FL 1-1/2X3-1/2,3.5,1.5,10,5.25,5.359,0.984,3.062,1.312,4.594,1.969,Flat 1 1/2X3 1/2
FL 1-1/2X4,4,1.5,11,6,8,1.125,4,1.5,6,2.25,Flat 1 1/2X4
FL 1-1/2X4-1/2,4.5,1.5,12,6.75,11.391,1.266,5.063,1.687,7.594,2.531,Flat 1 1/2X4 1/2
FL 1-1/2X5,5,1.5,13,7.5,15.625,1.406,6.25,1.875,9.375,2.813,Flat 1 1/2X5
FL 1-1/2X5-1/2,5.5,1.5,14,8.25,20.797,1.547,7.562,2.062,11.344,3.094,Flat 1 1/2X5 1/2
FL 1-1/2X6,6,1.5,15,9,27,1.688,9,2.25,13.5,3.375,Flat 1 1/2X6
FL 1-1/2X6-1/2,6.5,1.5,16,9.75,34.328,1.828,10.562,2.437,15.844,3.656,Flat 1 1/2X6 1/2
FL 1-1/2X7,7,1.5,17,10.5,42.875,1.969,12.25,2.625,18.375,3.937,Flat 1 1/2X7
FL 1-1/2X7-1/2,7.5,1.5,18,11.25,52.734,2.109,14.062,2.813,21.094,4.219,Flat 1 1/2X7 1/2
FL 1-1/2X8,8,1.5,19,12,64,2.25,16,3,24,4.5,Flat 1 1/2X8
FL 1-1/2X9,9,1.5,21,13.5,91.125,2.531,20.25,3.375,30.375,5.063,Flat 1 1/2X9
FL 1-1/2X10,10,1.5,23,15,125,2.813,25,3.75,37.5,5.625,Flat 1 1/2X10
FL 1-1/2X12,12,1.5,27,18,216,3.375,36,4.5,54,6.75,Flat 1 1/2X12
FL 1-5/8X1-1/2,1.5,1.625,6.25,2.4375,0.457,0.536,0.609,0.66,0.914,0.99,Flat 1 5/8X1 1/2
FL 1-5/8X2,2,1.625,7.25,3.25,1.083,0.715,1.083,0.88,1.625,1.32,Flat 1 5/8X2
FL 1-5/8X2-1/2,2.5,1.625,8.25,4.0625,2.116,0.894,1.693,1.1,2.539,1.65,Flat 1 5/8X2 1/2
FL 1-5/8X3,3,1.625,9.25,4.875,3.656,1.073,2.437,1.32,3.656,1.98,Flat 1 5/8X3
FL 1-5/8X3-1/2,3.5,1.625,10.25,5.6875,5.806,1.252,3.318,1.54,4.977,2.311,Flat 1 5/8X3 1/2
FL 1-5/8X4,4,1.625,11.25,6.5,8.667,1.43,4.333,1.76,6.5,2.641,Flat 1 5/8X4
FL 1-5/8X4-1/2,4.5,1.625,12.25,7.3125,12.34,1.609,5.484,1.98,8.227,2.971,Flat 1 5/8X4 1/2
FL 1-5/8X5,5,1.625,13.25,8.125,16.927,1.788,6.771,2.201,10.156,3.301,Flat 1 5/8X5
FL 1-5/8X5-1/2,5.5,1.625,14.25,8.9375,22.53,1.967,8.193,2.421,12.289,3.631,Flat 1 5/8X5 1/2
FL 1-5/8X6,6,1.625,15.25,9.75,29.25,2.146,9.75,2.641,14.625,3.961,Flat 1 5/8X6
FL 1-5/8X6-1/2,6.5,1.625,16.25,10.5625,37.189,2.324,11.443,2.861,17.164,4.291,Flat 1 5/8X6 1/2
FL 1-5/8X7,7,1.625,17.25,11.375,46.448,2.503,13.271,3.081,19.906,4.621,Flat 1 5/8X7
FL 1-5/8X7-1/2,7.5,1.625,18.25,12.1875,57.129,2.682,15.234,3.301,22.852,4.951,Flat 1 5/8X7 1/2
FL 1-5/8X8,8,1.625,19.25,13,69.333,2.861,17.333,3.521,26,5.281,Flat 1 5/8X8
FL 1-3/4X1-1/2,1.5,1.75,6.5,2.625,0.492,0.67,0.656,0.766,0.984,1.148,Flat 1 3/4X1 1/2
FL 1-3/4X2,2,1.75,7.5,3.5,1.167,0.893,1.167,1.021,1.75,1.531,Flat 1 3/4X2
FL 1-3/4X2-1/4,2.25,1.75,8,3.9375,1.661,1.005,1.477,1.148,2.215,1.723,Flat 1 3/4X2 1/4
FL 1-3/4X2-1/2,2.5,1.75,8.5,4.375,2.279,1.117,1.823,1.276,2.734,1.914,Flat 1 3/4X2 1/2
FL 1-3/4X2-3/4,2.75,1.75,9,4.8125,3.033,1.228,2.206,1.404,3.309,2.105,Flat 1 3/4X2 3/4
FL 1-3/4X3,3,1.75,9.5,5.25,3.937,1.34,2.625,1.531,3.937,2.297,Flat 1 3/4X3
FL 1-3/4X3-1/2,3.5,1.75,10.5,6.125,6.253,1.563,3.573,1.786,5.359,2.68,Flat 1 3/4X3 1/2
FL 1-3/4X4,4,1.75,11.5,7,9.333,1.786,4.667,2.042,7,3.062,Flat 1 3/4X4
FL 1-3/4X4-1/2,4.5,1.75,12.5,7.875,13.289,2.01,5.906,2.297,8.859,3.445,Flat 1 3/4X4 1/2
FL 1-3/4X5,5,1.75,13.5,8.75,18.229,2.233,7.292,2.552,10.938,3.828,Flat 1 3/4X5
FL 1-3/4X5-1/2,5.5,1.75,14.5,9.625,24.263,2.456,8.823,2.807,13.234,4.211,Flat 1 3/4X5 1/2
FL 1-3/4X6,6,1.75,15.5,10.5,31.5,2.68,10.5,3.062,15.75,4.594,Flat 1 3/4X6
FL 1-3/4X6-1/2,6.5,1.75,16.5,11.375,40.049,2.903,12.323,3.318,18.484,4.977,Flat 1 3/4X6 1/2
FL 1-3/4X7,7,1.75,17.5,12.25,50.021,3.126,14.292,3.573,21.438,5.359,Flat 1 3/4X7
FL 1-3/4X7-1/2,7.5,1.75,18.5,13.125,61.523,3.35,16.406,3.828,24.609,5.742,Flat 1 3/4X7 1/2
FL 1-3/4X8,8,1.75,19.5,14,74.667,3.573,18.667,4.083,28,6.125,Flat 1 3/4X8
FL 1-3/4X9,9,1.75,21.5,15.75,106.312,4.02,23.625,4.594,35.438,6.891,Flat 1 3/4X9
FL 1-3/4X10,10,1.75,23.5,17.5,145.833,4.466,29.167,5.104,43.75,7.656,Flat 1 3/4X10
FL 1-3/4X12,12,1.75,27.5,21,252,5.359,42,6.125,63,9.187,Flat 1 3/4X12
FL 1-7/8X1-1/2,1.5,1.875,6.75,2.8125,0.527,0.824,0.703,0.879,1.055,1.318,Flat 1 7/8X1 1/2
FL 1-7/8X2,2,1.875,7.75,3.75,1.25,1.099,1.25,1.172,1.875,1.758,Flat 1 7/8X2
FL 1-7/8X2-1/2,2.5,1.875,8.75,4.6875,2.441,1.373,1.953,1.465,2.93,2.197,Flat 1 7/8X2 1/2
FL 1-7/8X3,3,1.875,9.75,5.625,4.219,1.648,2.813,1.758,4.219,2.637,Flat 1 7/8X3
FL 1-7/8X3-1/2,3.5,1.875,10.75,6.5625,6.699,1.923,3.828,2.051,5.742,3.076,Flat 1 7/8X3 1/2
FL 1-7/8X4,4,1.875,11.75,7.5,10,2.197,5,2.344,7.5,3.516,Flat 1 7/8X4
FL 1-7/8X4-1/2,4.5,1.875,12.75,8.4375,14.238,2.472,6.328,2.637,9.492,3.955,Flat 1 7/8X4 1/2
FL 1-7/8X5,5,1.875,13.75,9.375,19.531,2.747,7.813,2.93,11.719,4.395,Flat 1 7/8X5
FL 1-7/8X5-1/2,5.5,1.875,14.75,10.3125,25.996,3.021,9.453,3.223,14.18,4.834,Flat 1 7/8X5 1/2
FL 1-7/8X6,6,1.875,15.75,11.25,33.75,3.296,11.25,3.516,16.875,5.273,Flat 1 7/8X6
FL 1-7/8X6-1/2,6.5,1.875,16.75,12.1875,42.91,3.571,13.203,3.809,19.805,5.713,Flat 1 7/8X6 1/2
FL 1-7/8X7,7,1.875,17.75,13.125,53.594,3.845,15.313,4.102,22.969,6.152,Flat 1 7/8X7
FL 1-7/8X7-1/2,7.5,1.875,18.75,14.0625,65.918,4.12,17.578,4.395,26.367,6.592,Flat 1 7/8X7 1/2
FL 1-7/8X8,8,1.875,19.75,15,80,4.395,20,4.687,30,7.031,Flat 1 7/8X8
FL 2X1-1/2,1.5,2,7,3,0.563,1,0.75,1,1.125,1.5,Flat 2X1 1/2
FL 2X2,2,2,8,4,1.333,1.333,1.333,1.333,2,2,Flat 2X2
FL 2X2-1/4,2.25,2,8.5,4.5,1.898,1.5,1.687,1.5,2.531,2.25,Flat 2X2 1/4
FL 2X2-1/2,2.5,2,9,5,2.604,1.667,2.083,1.667,3.125,2.5,Flat 2X2 1/2
FL 2X2-3/4,2.75,2,9.5,5.5,3.466,1.833,2.521,1.833,3.781,2.75,Flat 2X2 3/4
FL 2X3,3,2,10,6,4.5,2,3,2,4.5,3,Flat 2X3
FL 2X3-1/2,3.5,2,11,7,7.146,2.333,4.083,2.333,6.125,3.5,Flat 2X3 1/2
FL 2X4,4,2,12,8,10.667,2.667,5.333,2.667,8,4,Flat 2X4
FL 2X4-1/2,4.5,2,13,9,15.188,3,6.75,3,10.125,4.5,Flat 2X4 1/2
FL 2X5,5,2,14,10,20.833,3.333,8.333,3.333,12.5,5,Flat 2X5
FL 2X5-1/2,5.5,2,15,11,27.729,3.667,10.083,3.667,15.125,5.5,Flat 2X5 1/2
FL 2X6,6,2,16,12,36,4,12,4,18,6,Flat 2X6
FL 2X6-1/2,6.5,2,17,13,45.771,4.333,14.083,4.333,21.125,6.5,Flat 2X6 1/2
FL 2X7,7,2,18,14,57.167,4.667,16.333,4.667,24.5,7,Flat 2X7
FL 2X7-1/2,7.5,2,19,15,70.313,5,18.75,5,28.125,7.5,Flat 2X7 1/2
FL 2X8,8,2,20,16,85.333,5.333,21.333,5.333,32,8,Flat 2X8
FL 2X9,9,2,22,18,121.5,6,27,6,40.5,9,Flat 2X9
FL 2X10,10,2,24,20,166.667,6.667,33.333,6.667,50,10,Flat 2X10
FL 2X12,12,2,28,24,288,8,48,8,72,12,Flat 2X12
FL 2-1/2X4,4,2.5,13,10,13.333,5.208,6.667,4.167,10,6.25,Flat 2 1/2X4
FL 2-1/2X5,5,2.5,15,12.5,26.042,6.51,10.417,5.208,15.625,7.813,Flat 2 1/2X5
FL 3X6,6,3,18,18,54,13.5,18,9,27,13.5,Flat 3X6
