,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##SURFACE_AREA##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
FL 1/4X3-3/4,3.75,0.25,8,0.9375,1.099,0.005,0.586,0.039,0.879,0.059,Flat 1/4X4 1/2
FL 1/4X4,4,0.25,8.5,1,1.333,0.005,0.667,0.042,1,0.062,Flat 1/4X5
FL 1/4X4-1/2,4.5,0.25,9.5,1.125,1.898,0.006,0.844,0.047,1.266,0.07,Flat 1/4X5 1/2
FL 1/4X5,5,0.25,10.5,1.25,2.604,0.007,1.042,0.052,1.563,0.078,Flat 1/4X5/8
FL 1/4X5-1/2,5.5,0.25,11.5,1.375,3.466,0.007,1.26,0.057,1.891,0.086,Flat 1/4X6
FL 1/4X6,6,0.25,12.5,1.5,4.5,0.008,1.5,0.062,2.25,0.094,Flat 1/4X6 1/2
FL 1/4X6-1/2,6.5,0.25,13.5,1.625,5.721,0.008,1.76,0.068,2.641,0.102,Flat 1/4X7
FL 1/4X7,7,0.25,14.5,1.75,7.146,0.009,2.042,0.073,3.062,0.109,Flat 1/4X7 1/2
FL 1/4X7-1/2,7.5,0.25,15.5,1.875,8.789,0.01,2.344,0.078,3.516,0.117,Flat 1/4X7/8
FL 1/4X8,8,0.25,16.5,2,10.667,0.01,2.667,0.083,4,0.125,Flat 1/4X8
FL 1/4X9,9,0.25,18.5,2.25,15.188,0.012,3.375,0.094,5.063,0.141,Flat 1/4X9
FL 1/4X10,10,0.25,20.5,2.5,20.833,0.013,4.167,0.104,6.25,0.156,Flat 1/4X10
FL 1/4X11,11,0.25,22.5,2.75,27.729,0.014,5.042,0.115,7.562,0.172,Flat 1/4X11
FL 1/4X12,12,0.25,24.5,3,36,0.016,6,0.125,9,0.188,Flat 1/4X12
FL 5/16X1/2,0.5,0.3125,1.625,0.1563,0.003,0.001,0.013,0.008,0.02,0.012,Flat 5/16X1/2
FL 5/16X5/8,0.625,0.3125,1.875,0.1953,0.006,0.002,0.02,0.01,0.031,0.015,Flat 5/16X5/8
FL 5/16X3/4,0.75,0.3125,2.125,0.2344,0.011,0.002,0.029,0.012,0.044,0.018,Flat 5/16X3/4
FL 5/16X7/8,0.875,0.3125,2.375,0.2734,0.017,0.002,0.04,0.014,0.06,0.021,Flat 5/16X7/8
FL 5/16X1,1,0.3125,2.625,0.3125,0.026,0.003,0.052,0.016,0.078,0.024,Flat 5/16X1
FL 5/16X1-1/8,1.125,0.3125,2.875,0.3516,0.037,0.003,0.066,0.018,0.099,0.027,Flat 5/16X1 1/8
FL 5/16X1-1/4,1.25,0.3125,3.125,0.3906,0.051,0.003,0.081,0.02,0.122,0.031,Flat 5/16X1 1/4
FL 5/16X1-3/8,1.375,0.3125,3.375,0.4297,0.068,0.003,0.098,0.022,0.148,0.034,Flat 5/16X1 3/8
FL 5/16X1-1/2,1.5,0.3125,3.625,0.4688,0.088,0.004,0.117,0.024,0.176,0.037,Flat 5/16X1 1/2
FL 5/16X1-3/4,1.75,0.3125,4.125,0.5469,0.14,0.004,0.16,0.028,0.239,0.043,Flat 5/16X1 3/4
FL 5/16X2,2,0.3125,4.625,0.625,0.208,0.005,0.208,0.033,0.313,0.049,Flat 5/16X2
FL 5/16X2-1/4,2.25,0.3125,5.125,0.7031,0.297,0.006,0.264,0.037,0.395,0.055,Flat 5/16X2 1/4
FL 5/16X2-1/2,2.5,0.3125,5.625,0.7813,0.407,0.006,0.326,0.041,0.488,0.061,Flat 5/16X2 1/2
FL 5/16X2-3/4,2.75,0.3125,6.125,0.8594,0.542,0.007,0.394,0.045,0.591,0.067,Flat 5/16X2 3/4
