,Shape##other##,W##other##,A##area##inches,Ht##length##inches,b##length##inches,t##length##inches
HSS7X4X3/8,Rect.,24.900,6.880,7.000,4.000,0.349
HSS7X4X5/16,Rect.,21.200,5.850,7.000,4.000,0.291
HSS7X4X1/4,Rect.,17.300,4.770,7.000,4.000,0.233
HSS7X4X3/16,Rect.,13.300,3.630,7.000,4.000,0.174
HSS7X4X1/8,Rect.,9.000,2.460,7.000,4.000,0.116
HSS7X3X1/2,Rect.,28.300,7.880,7.000,3.000,0.465
HSS7X3X3/8,Rect.,22.300,6.180,7.000,3.000,0.349
HSS7X3X5/16,Rect.,19.100,5.260,7.000,3.000,0.291
HSS7X3X1/4,Rect.,15.600,4.300,7.000,3.000,0.233
HSS7X3X3/16,Rect.,12.000,3.280,7.000,3.000,0.174
HSS7X3X1/8,Rect.,8.150,2.230,7.000,3.000,0.116
HSS7X2X1/2,Rect.,13.900,3.840,7.000,2.000,0.233
HSS7X2X3/16,Rect.,10.700,2.930,7.000,2.000,0.174
HSS7X2X1/4,Rect.,7.300,2.000,7.000,2.000,0.116
HSS6X6X5/8,Square,42.100,11.700,6.000,6.000,0.581
HSS6X6X1/2,Square,35.100,9.740,6.000,6.000,0.465
HSS6X6X3/8,Square,27.400,7.580,6.000,6.000,0.349
HSS6X6X5/16,Square,23.300,6.430,6.000,6.000,0.291
HSS6X6X1/4,Square,19.000,5.240,6.000,6.000,0.233
HSS6X6X3/16,Square,14.500,3.980,6.000,6.000,0.174
HSS6X6X1/8,Square,9.850,2.700,6.000,6.000,0.116
HSS6X5X1/2,Rect.,31.700,8.810,6.000,5.000,0.465
HSS6X5X3/8,Rect.,24.900,6.880,6.000,5.000,0.349
HSS6X5X5/16,Rect.,21.200,5.850,6.000,5.000,0.291
HSS6X5X1/4,Rect.,17.300,4.770,6.000,5.000,0.233
HSS6X5X3/16,Rect.,13.300,3.630,6.000,5.000,0.174
HSS6X5X1/8,Rect.,9.000,2.460,6.000,5.000,0.116
HSS6X4X1/2,Rect.,28.300,7.880,6.000,4.000,0.465
HSS6X4X3/8,Rect.,22.300,6.180,6.000,4.000,0.349
HSS6X4X5/16,Rect.,19.100,5.260,6.000,4.000,0.291
HSS6X4X1/4,Rect.,15.600,4.300,6.000,4.000,0.233
HSS6X4X3/16,Rect.,12.000,3.280,6.000,4.000,0.174
HSS6X4X1/8,Rect.,8.150,2.230,6.000,4.000,0.116
HSS6X3X1/2,Rect.,24.900,6.950,6.000,3.000,0.465
HSS6X3X3/8,Rect.,19.700,5.480,6.000,3.000,0.349
HSS6X3X5/16,Rect.,16.900,4.680,6.000,3.000,0.291
HSS6X3X1/4,Rect.,13.900,3.840,6.000,3.000,0.233
HSS6X3X3/16,Rect.,10.700,2.930,6.000,3.000,0.174
HSS6X3X1/8,Rect.,7.300,2.000,6.000,3.000,0.116
HSS6X2X3/8,Rect.,17.200,4.780,6.000,2.000,0.349
HSS6X2X5/16,Rect.,14.800,4.100,6.000,2.000,0.291
HSS6X2X1/4,Rect.,12.200,3.370,6.000,2.000,0.233
HSS6X2X3/16,Rect.,9.430,2.580,6.000,2.000,0.174
HSS6X2X1/8,Rect.,6.450,1.770,6.000,2.000,0.116
HSS5-1/2X5-1/2X3/8,Square,24.900,6.880,5.500,5.500,0.349
HSS5-1/2X5-1/2X5/16,Square,21.200,5.850,5.500,5.500,0.291
HSS5-1/2X5-1/2X1/4,Square,17.300,4.770,5.500,5.500,0.233
HSS5-1/2X5-1/2X3/16,Square,13.200,3.630,5.500,5.500,0.174
HSS5-1/2X5-1/2X1/8,Square,9.000,2.460,5.500,5.500,0.116
HSS5X5X1/2,Square,28.300,7.880,5.000,5.000,0.465
HSS5X5X3/8,Square,22.300,6.180,5.000,5.000,0.349
HSS5X5X5/16,Square,19.000,5.260,5.000,5.000,0.291
HSS5X5X1/4,Square,15.600,4.300,5.000,5.000,0.233
HSS5X5X3/16,Square,12.000,3.280,5.000,5.000,0.174
HSS5X5X1/8,Square,8.150,2.230,5.000,5.000,0.116
HSS5X4X1/2,Rect.,24.900,6.950,5.000,4.000,0.465
HSS5X4X3/8,Rect.,19.700,5.480,5.000,4.000,0.349
HSS5X4X5/16,Rect.,16.900,4.680,5.000,4.000,0.291
HSS5X4X1/4,Rect.,13.900,3.840,5.000,4.000,0.233
HSS5X4X3/16,Rect.,10.700,2.930,5.000,4.000,0.174
HSS5X4X1/8,Rect.,7.300,2.000,5.000,4.000,0.116
HSS5X3X1/2,Rect.,21.500,6.020,5.000,3.000,0.465
HSS5X3X3/8,Rect.,17.200,4.780,5.000,3.000,0.349
HSS5X3X5/16,Rect.,14.800,4.100,5.000,3.000,0.291
HSS5X3X1/4,Rect.,12.200,3.370,5.000,3.000,0.233
HSS5X3X3/16,Rect.,9.430,2.580,5.000,3.000,0.174
HSS5X3X1/8,Rect.,6.450,1.770,5.000,3.000,0.116
HSS5X2-1/2X1/4,Rect.,11.300,3.140,5.000,2.500,0.233
HSS5X2-1/2X3/16,Rect.,8.790,2.410,5.000,2.500,0.174
HSS5X2-1/2X1/8,Rect.,6.020,1.650,5.000,2.500,0.116
HSS5X2X3/8,Rect.,14.600,4.090,5.000,2.000,0.349
HSS5X2X5/16,Rect.,12.700,3.520,5.000,2.000,0.291
HSS5X2X1/4,Rect.,10.500,2.910,5.000,2.000,0.233
HSS5X2X3/16,Rect.,8.150,2.240,5.000,2.000,0.174
HSS5X2X1/8,Rect.,5.600,1.540,5.000,2.000,0.116
HSS4-1/2X4-1/2X1/2,Square,24.900,6.950,4.500,4.500,0.465
HSS4-1/2X4-1/2X3/8,Square,19.700,5.480,4.500,4.500,0.349
HSS4-1/2X4-1/2X5/16,Square,16.900,4.680,4.500,4.500,0.291
HSS4-1/2X4-1/2X1/4,Square,13.900,3.840,4.500,4.500,0.233
HSS4-1/2X4-1/2X3/16,Square,10.700,2.930,4.500,4.500,0.174
HSS4-1/2X4-1/2X1/8,Square,7.300,2.000,4.500,4.500,0.116
HSS4X4X1/2,Square,21.500,6.020,4.000,4.000,0.465
HSS4X4X3/8,Square,17.200,4.780,4.000,4.000,0.349
HSS4X4X5/16,Square,14.800,4.100,4.000,4.000,0.291
HSS4X4X1/4,Square,12.200,3.370,4.000,4.000,0.233
HSS4X4X3/16,Square,9.400,2.580,4.000,4.000,0.174
HSS4X4X1/8,Square,6.450,1.770,4.000,4.000,0.116
HSS4X3X3/8,Rect.,14.600,4.090,4.000,3.000,0.349
HSS4X3X5/16,Rect.,12.700,3.520,4.000,3.000,0.291
HSS4X3X1/4,Rect.,10.500,2.910,4.000,3.000,0.233
HSS4X3X3/16,Rect.,8.150,2.240,4.000,3.000,0.174
HSS4X3X1/8,Rect.,5.600,1.540,4.000,3.000,0.116
HSS4X2-1/2X3/8,Rect.,13.400,3.740,4.000,2.500,0.349
HSS4X2-1/2X5/16,Rect.,11.600,3.230,4.000,2.500,0.291
HSS4X2-1/2X1/4,Rect.,9.630,2.670,4.000,2.500,0.233
HSS4X2-1/2X3/16,Rect.,7.510,2.060,4.000,2.500,0.174
HSS4X2-1/2X1/8,Rect.,5.170,1.420,4.000,2.500,0.116
HSS4X2X3/8,Rect.,12.100,3.390,4.000,2.000,0.349
HSS4X2X5/16,Rect.,10.500,2.940,4.000,2.000,0.291
HSS4X2X1/4,Rect.,8.780,2.440,4.000,2.000,0.233
HSS4X2X3/16,Rect.,6.870,1.890,4.000,2.000,0.174
HSS4X2X1/8,Rect.,4.750,1.300,4.000,2.000,0.116
HSS3-1/2X3-1/2X3/8,Square,14.600,4.090,3.500,3.500,0.349
HSS3-1/2X3-1/2X5/16,Square,12.700,3.520,3.500,3.500,0.291
HSS3-1/2X3-1/2X1/4,Square,10.500,2.910,3.500,3.500,0.233
HSS3-1/2X3-1/2X3/16,Square,8.130,2.240,3.500,3.500,0.174
HSS3-1/2X3-1/2X1/8,Square,5.600,1.540,3.500,3.500,0.116
HSS3-1/2X2X1/4,Rect.,7.930,2.210,3.500,2.000,0.233
HSS3-1/2X2X3/16,Rect.,6.230,1.710,3.500,2.000,0.174
HSS3-1/2X2X1/8,Rect.,4.320,1.190,3.500,2.000,0.116
HSS3-1/2X1-1/2X1/4,Rect.,7.080,1.970,3.500,1.500,0.233
HSS3-1/2X1-1/2X3/16,Rect.,5.590,1.540,3.500,1.500,0.174
HSS3-1/2X1-1/2X1/8,Rect.,3.900,1.070,3.500,1.500,0.116
HSS3X3X3/8,Square,12.100,3.390,3.000,3.000,0.349
HSS3X3X5/16,Square,10.500,2.940,3.000,3.000,0.291
HSS3X3X1/4,Square,8.780,2.440,3.000,3.000,0.233
HSS3X3X3/16,Square,6.850,1.890,3.000,3.000,0.174
HSS3X3X1/8,Square,4.750,1.300,3.000,3.000,0.116
HSS3X2-1/2X5/16,Rect.,9.470,2.640,3.000,2.500,0.291
HSS3X2-1/2X1/4,Rect.,7.930,2.210,3.000,2.500,0.233
HSS3X2-1/2X3/16,Rect.,6.230,1.710,3.000,2.500,0.174
HSS3X2-1/2X1/8,Rect.,4.320,1.190,3.000,2.500,0.116
HSS3X2X5/16,Rect.,8.410,2.350,3.000,2.000,0.291
HSS3X2X1/4,Rect.,7.080,1.970,3.000,2.000,0.233
HSS3X2X3/16,Rect.,5.590,1.540,3.000,2.000,0.174
HSS3X2X1/8,Rect.,3.900,1.070,3.000,2.000,0.116
HSS3X1-1/2X1/4,Rect.,6.230,1.740,3.000,1.500,0.233
HSS3X1-1/2X3/16,Rect.,4.950,1.370,3.000,1.500,0.174
HSS3X1-1/2X1/8,Rect.,3.470,0.956,3.000,1.500,0.116
HSS3X1X3/16,Rect.,4.310,1.190,3.000,1.000,0.174
HSS3X1X1/8,Rect.,3.040,0.840,3.000,1.000,0.116
HSS2-1/2X2-1/2X5/16,Square,8.400,2.350,2.500,2.500,0.291
HSS2-1/2X2-1/2X1/4,Square,7.080,1.970,2.500,2.500,0.233
HSS2-1/2X2-1/2X3/16,Square,5.570,1.540,2.500,2.500,0.174
HSS2-1/2X2-1/2X1/8,Square,3.900,1.070,2.500,2.500,0.116
HSS2-1/2X2X1/4,Rect.,6.230,1.740,2.500,2.000,0.233
HSS2-1/2X2X3/16,Rect.,4.950,1.370,2.500,2.000,0.174
HSS2-1/2X2X1/8,Rect.,3.470,0.956,2.500,2.000,0.116
HSS2-1/2X1-1/2X1/4,Rect.,5.380,1.510,2.500,1.500,0.233
HSS2-1/2X1-1/2X3/16,Rect.,4.310,1.190,2.500,1.500,0.174
HSS2-1/2X1-1/2X1/8,Rect.,3.040,0.840,2.500,1.500,0.116
HSS2-1/2X1X3/16,Rect.,3.670,1.020,2.500,1.000,0.174
HSS2-1/2X1X1/8,Rect.,2.620,0.724,2.500,1.000,0.116
HSS2-1/4X2-1/4X1/4,Rect.,6.230,1.740,2.250,2.250,0.233
HSS2-1/4X2-1/4X3/16,Rect.,4.940,1.370,2.250,2.250,0.174
HSS2-1/4X2-1/4X1/8,Rect.,3.470,0.956,2.250,2.250,0.116
HSS2-1/4X2X3/16,Rect.,4.630,1.280,2.250,2.250,0.174
HSS2-1/4X2X1/8,Rect.,3.260,0.898,2.250,2.250,0.116
HSS2X2X1/4,Square,5.380,1.510,2.000,2.000,0.233
HSS2X2X3/16,Square,4.300,1.190,2.000,2.000,0.174
HSS2X2X1/8,Square,3.040,0.840,2.000,2.000,0.116
